iter	Passed	Remaining
0	1	1306
1	1	995
2	2	867
3	3	810
4	3	759
5	4	737
6	5	722
7	5	702
8	6	684
9	6	670
10	7	665
11	7	658
12	8	650
13	9	643
14	9	637
15	10	638
16	10	634
17	11	634
18	12	636
19	12	635
20	13	646
21	14	646
22	15	644
23	15	641
24	16	637
25	16	633
26	17	633
27	18	630
28	18	628
29	19	627
30	20	626
31	20	623
32	21	620
33	21	617
34	22	614
35	22	611
36	23	608
37	23	605
38	24	601
39	25	600
40	25	600
41	26	599
42	26	596
43	27	594
44	27	591
45	28	590
46	29	588
47	29	585
48	30	584
49	30	583
50	31	582
51	31	580
52	32	578
53	32	575
54	33	573
55	33	572
56	34	570
57	35	568
58	35	567
59	36	566
60	36	564
61	37	563
62	37	561
63	38	559
64	38	560
65	39	559
66	40	560
67	40	558
68	41	557
69	41	556
70	42	554
71	42	553
72	43	552
73	44	551
74	44	549
75	45	549
76	45	548
77	46	547
78	46	546
79	47	544
80	47	543
81	48	542
82	48	538
83	49	537
84	49	536
85	50	535
86	50	533
87	51	532
88	51	531
89	52	530
90	53	531
91	54	533
92	54	533
93	55	532
94	55	531
95	56	530
96	56	530
97	57	529
98	58	527
99	58	527
100	59	526
101	59	525
102	60	524
103	60	523
104	61	522
105	61	521
106	62	520
107	62	519
108	63	519
109	64	518
110	64	517
111	65	516
112	65	514
113	66	514
114	66	513
115	67	512
116	67	511
117	68	511
118	68	510
119	69	509
120	70	509
121	70	508
122	71	508
123	71	507
124	72	507
125	73	506
126	73	505
127	74	504
128	74	503
129	75	502
130	75	502
131	76	501
132	76	500
133	77	499
134	77	498
135	78	497
136	78	496
137	79	495
138	79	495
139	80	494
140	80	493
141	81	491
142	82	491
143	82	491
144	83	491
145	83	490
146	84	489
147	84	488
148	85	488
149	86	487
150	86	486
151	87	485
152	87	485
153	88	484
154	88	483
155	89	483
156	89	482
157	90	481
158	90	480
159	91	479
160	91	478
161	92	477
162	92	476
163	93	475
164	93	474
165	94	474
166	94	473
167	95	473
168	96	473
169	96	473
170	97	472
171	97	471
172	98	471
173	99	470
174	99	469
175	100	469
176	100	468
177	101	467
178	101	466
179	102	466
180	102	465
181	103	464
182	103	464
183	104	463
184	105	462
185	105	462
186	106	461
187	106	460
188	107	460
189	107	459
190	108	458
191	108	458
192	109	457
193	109	456
194	110	457
195	111	457
196	112	457
197	112	456
198	113	456
199	113	455
200	114	455
201	115	454
202	115	453
203	116	453
204	116	452
205	117	451
206	117	451
207	118	450
208	118	449
209	119	449
210	119	448
211	120	447
212	121	447
213	121	446
214	122	445
215	122	445
216	123	444
217	123	443
218	124	443
219	124	443
220	125	442
221	126	442
222	126	441
223	127	441
224	127	440
225	128	440
226	129	439
227	129	438
228	130	437
229	130	437
230	131	436
231	131	435
232	132	435
233	132	434
234	133	433
235	133	432
236	134	432
237	134	431
238	135	430
239	135	430
240	136	429
241	136	428
242	137	428
243	137	427
244	138	427
245	139	427
246	139	426
247	140	426
248	141	425
249	141	424
250	142	424
251	142	423
252	143	422
253	143	422
254	144	421
255	144	421
256	145	420
257	146	419
258	146	419
259	147	418
260	147	418
261	148	417
262	148	417
263	149	417
264	150	416
265	150	415
266	151	415
267	151	414
268	152	414
269	153	414
270	153	413
271	154	413
272	155	412
273	155	413
274	156	413
275	157	413
276	158	412
277	158	411
278	159	411
279	159	410
280	160	410
281	161	409
282	161	409
283	162	408
284	162	408
285	163	407
286	163	407
287	164	406
288	165	405
289	165	405
290	166	404
291	166	404
292	167	404
293	168	403
294	168	403
295	169	402
296	169	402
297	170	401
298	171	401
299	171	400
300	172	400
301	172	399
302	173	399
303	174	398
304	174	397
305	175	397
306	175	396
307	176	396
308	176	395
309	177	395
310	178	394
311	178	393
312	179	393
313	179	392
314	180	392
315	181	393
316	182	393
317	183	392
318	183	392
319	184	391
320	184	390
321	185	390
322	185	389
323	186	389
324	187	388
325	187	388
326	188	387
327	188	387
328	189	386
329	190	386
330	190	385
331	191	385
332	191	384
333	192	383
334	193	383
335	193	382
336	194	382
337	195	382
338	196	382
339	196	382
340	197	381
341	198	381
342	199	381
343	199	380
344	200	380
345	200	379
346	201	379
347	202	378
348	202	378
349	203	377
350	203	376
351	204	376
352	205	375
353	205	375
354	206	374
355	206	374
356	207	373
357	207	372
358	208	372
359	209	372
360	210	371
361	210	371
362	211	370
363	211	370
364	212	369
365	213	369
366	213	368
367	214	368
368	215	367
369	215	367
370	216	366
371	216	366
372	217	365
373	218	365
374	218	364
375	219	363
376	219	363
377	220	362
378	220	362
379	221	361
380	222	361
381	222	360
382	223	359
383	224	359
384	225	359
385	225	359
386	226	358
387	227	358
388	227	357
389	228	356
390	228	356
391	229	355
392	229	355
393	230	354
394	231	353
395	231	353
396	232	352
397	232	352
398	233	351
399	233	350
400	234	350
401	235	349
402	235	349
403	236	348
404	236	347
405	237	347
406	237	346
407	238	346
408	239	345
409	239	345
410	240	344
411	241	344
412	241	343
413	242	342
414	242	342
415	243	341
416	244	341
417	244	340
418	245	340
419	245	339
420	246	338
421	247	338
422	247	337
423	248	337
424	248	336
425	249	336
426	249	335
427	250	334
428	251	334
429	251	333
430	252	333
431	253	332
432	253	332
433	254	331
434	255	331
435	255	330
436	256	330
437	256	329
438	257	329
439	258	328
440	258	327
441	259	327
442	259	326
443	260	326
444	261	325
445	261	325
446	262	324
447	262	323
448	263	323
449	264	322
450	264	322
451	265	321
452	266	321
453	266	320
454	267	320
455	268	319
456	268	319
457	269	318
458	270	318
459	270	317
460	271	317
461	272	316
462	272	316
463	273	315
464	273	315
465	274	314
466	274	313
467	275	313
468	276	312
469	276	312
470	277	311
471	277	310
472	278	310
473	279	309
474	279	309
475	280	308
476	280	307
477	281	307
478	281	306
479	282	305
480	282	305
481	283	304
482	284	304
483	284	303
484	285	303
485	286	302
486	286	301
487	287	301
488	287	300
489	288	299
490	288	299
491	289	298
492	289	298
493	290	297
494	290	296
495	291	296
496	291	295
497	292	294
498	293	294
499	293	293
500	294	293
501	294	292
502	295	291
503	295	291
504	296	290
505	296	289
506	297	289
507	298	288
508	298	288
509	299	287
510	300	287
511	300	286
512	301	285
513	301	285
514	302	284
515	302	283
516	303	283
517	303	282
518	304	282
519	304	281
520	305	280
521	305	280
522	306	279
523	306	278
524	307	278
525	307	277
526	308	276
527	309	276
528	309	275
529	310	274
530	310	274
531	311	273
532	311	273
533	312	272
534	312	271
535	313	271
536	314	270
537	314	270
538	315	269
539	315	268
540	316	268
541	316	267
542	317	266
543	317	266
544	318	265
545	318	265
546	319	264
547	319	263
548	320	263
549	320	262
550	321	261
551	321	261
552	322	260
553	323	260
554	323	259
555	324	258
556	324	258
557	325	257
558	325	256
559	326	256
